Naira/GBP,Naira/USD,Naira/Yuan
290.33,196.50,30.06
288.44,196.50,30.12
287.97,196.50,29.99
285.99,196.50,29.80
286.83,196.50,29.80
286.46,196.50,29.89
283.43,196.50,29.88
282.92,196.50,29.88
283.22,196.50,29.81
282.06,196.50,29.84
281.00,196.50,29.87
280.52,196.50,29.86
278.19,196.50,29.86
277.22,196.50,29.86
281.01,196.50,29.87
279.93,197.50,29.87
279.76,196.50,29.85
281.21,196.50,29.86
281.05,196.50,29.88
280.58,196.50,29.88
280.78,196.50,29.87
283.49,196.50,29.86
284.93,196.50,52.37
286.01,196.50,29.88
285.61,196.50,29.87
282.72,196.50,29.88
283.08,196.50,29.88
286.40,196.50,29.88
283.43,196.50,29.88
285.73,196.50,29.88
284.28,196.50,30.25
283.47,196.50,30.16
281.29,196.50,30.10
282.68,196.50,30.15
280.50,196.50,30.13
277.18,196.50,30.12
276.91,196.50,30.10
272.98,196.50,30.05
274.24,196.50,30.07
274.49,196.50,30.05
272.27,196.50,29.98
274.59,196.50,30.00
275.14,196.50,29.99
276.50,196.50,30.04
278.11,196.50,30.15
278.40,196.50,30.15
279.48,196.50,30.20
279.17,196.50,30.16
279.15,196.50,30.16
281.05,196.50,30.21
282.19,196.50,30.24
278.20,196.50,30.17
277.12,196.50,30.13
282.76,196.50,30.32
284.75,196.50,30.33
282.96,196.50,30.32
280.62,196.50,30.26
278.72,196.50,30.22
277.87,196.50,30.15
280.64,196.50,30.18
283.55,196.50,30.33
282.45,196.50,30.42
281.23,196.50,30.39
280.92,196.50,30.33
278.81,196.50,30.35
275.49,196.50,30.28
276.71,196.50,30.36
277.07,196.50,30.36
279.58,196.50,30.36
280.74,196.50,30.40
279.97,196.50,30.35
278.42,196.50,30.32
278.75,196.50,30.33
278.66,196.50,30.33
282.37,196.50,30.38
282.51,196.50,30.38
282.94,196.50,30.34
282.72,196.50,30.24
285.12,196.50,30.25
286.03,196.50,30.23
286.77,196.50,30.24
286.36,196.50,30.33
287.24,196.50,30.29
287.26,196.50,30.30
285.22,196.50,30.21
285.02,196.50,30.20
284.77,196.50,30.23
283.25,196.50,30.17
283.73,196.50,30.14
283.98,196.50,30.21
284.36,196.50,30.14
283.18,196.50,30.12
282.51,196.50,30.12
284.61,196.50,30.10
286.06,196.50,30.06
287.13,196.50,30.00
286.18,196.50,30.00
284.55,196.50,29.97
287.01,196.50,29.97
288.60,196.50,29.94
289.01,196.50,29.96
287.89,196.50,29.94
287.70,196.50,29.87
283.75,196.50,29.86
284.06,196.50,29.84
283.53,196.50,29.83
283.14,196.50,29.91
286.36,196.50,29.89
286.79,196.50,29.91
284.14,196.50,29.93
283.04,196.50,29.93
278.48,196.50,29.83
277.52,196.50,29.78
278.79,196.50,29.84
277.87,196.50,29.81
280.78,196.50,29.81
409.22,279.50,42.44
416.15,283.50,43.02
412.68,281.00,42.70
413.96,280.50,42.63
385.58,280.50,42.33
370.57,281.50,42.32
376.53,282.00,42.41
379.49,282.25,42.48
379.54,282.50,42.49
374.81,281.75,42.29
374.14,281.50,42.32
365.47,281.50,42.08
366.37,282.00,42.15
372.04,282.75,42.28
376.24,283.25,42.33
379.78,283.50,42.39
387.06,289.50,43.31
386.70,291.50,43.47
384.04,292.40,43.67
385.35,292.40,43.79
384.52,291.90,43.71
392.61,299.50,44.85
406.22,309.50,46.33
409.03,311.50,46.67
413.46,315.50,47.30
409.14,310.85,46.67
411.81,312.50,46.97
415.20,315.00,47.40
410.81,310.00,46.71
413.37,309.50,46.67
407.33,309.50,46.57
408.68,310.50,46.74
405.42,310.50,46.61
402.29,310.00,46.53
417.91,319.50,48.17
401.36,309.50,46.60
403.25,309.50,46.63
399.22,309.50,46.63
401.38,309.30,46.69
401.24,308.50,46.48
426.94,324.50,48.92
402.52,307.50,46.19
399.67,305.00,45.84
402.20,305.00,45.91
403.58,305.00,45.80
401.54,304.50,45.71
402.34,304.50,45.61
398.54,305.00,45.67
400.01,305.00,45.66
401.12,305.50,45.73
403.49,304.50,45.58
404.13,304.50,45.56
406.72,305.00,45.67
407.33,305.00,45.67
407.09,304.50,45.69
407.11,305.00,45.79
405.38,304.50,45.57
402.30,305.00,45.68
402.15,304.50,45.61
401.93,305.00,45.69
397.62,304.50,45.62
394.85,304.50,45.64
396.06,304.50,45.62
398.76,305.00,45.73
394.72,304.50,45.64
393.75,304.50,45.66
396.07,305.00,45.73
397.35,305.00,45.68
396.88,304.75,45.69
394.77,304.75,45.65
388.33,304.50,45.62
387.42,304.50,45.62
385.59,304.50,45.62
375.42,304.50,45.62
377.59,304.75,45.42
374.02,304.75,45.34
373.26,304.50,45.33
371.46,304.50,45.24
373.10,304.50,45.26
370.67,305.00,45.26
374.54,305.00,45.26
374.57,304.75,45.23
373.71,304.75,45.22
371.64,304.75,45.04
373.14,305.00,45.00
370.58,305.00,44.94
372.53,305.00,45.05
373.66,305.00,44.98
369.78,304.50,44.90
370.82,304.50,44.95
372.59,304.75,45.00
375.33,304.75,45.07
379.93,304.75,45.05
380.50,304.50,45.04
378.40,304.50,44.94
377.34,304.50,44.87
378.77,304.50,44.93
378.68,304.75,44.82
384.66,304.75,44.75
381.79,304.75,44.52
378.74,304.75,44.43
379.05,305.00,44.33
380.76,305.00,44.38
378.72,305.00,44.28
377.15,304.50,44.16
379.10,304.50,44.22
377.55,304.50,44.11
379.22,304.50,43.98
379.78,304.75,44.02
377.80,304.75,44.10
380.18,304.75,44.18
379.13,304.50,44.23
384.77,304.50,44.17
384.40,304.50,44.19
388.42,305.00,44.30
388.81,305.00,44.31
384.03,305.00,44.30
386.65,305.00,44.33
384.33,305.00,44.15
387.17,304.50,44.10
385.16,304.50,44.10
379.62,304.50,43.88
379.13,304.50,43.75
378.35,304.75,43.82
376.12,304.75,43.84
377.37,304.75,43.85
376.06,304.75,43.85
373.44,304.75,43.86
372.71,304.75,43.79
373.47,304.75,43.80
374.57,304.50,43.83
374.11,304.50,43.73
374.17,304.50,43.89
374.96,304.50,44.17
376.48,304.50,43.98
370.39,304.50,43.89
369.69,304.50,43.97
369.27,304.50,43.89
374.14,304.50,44.12
370.85,304.50,44.12
367.41,304.75,44.15
373.01,304.75,44.44
374.42,304.75,44.54
375.94,305.00,44.40
374.54,305.00,44.32
379.45,305.00,44.49
379.85,305.00,44.45
383.69,305.00,44.29
383.38,304.75,44.25
382.10,304.75,44.25
381.76,304.75,44.25
380.24,304.75,44.25
385.36,304.75,44.25
385.05,304.75,44.25
380.91,304.75,44.34
380.30,304.75,44.40
377.31,304.75,44.26
380.79,304.75,44.33
382.36,304.50,44.34
379.44,304.50,44.26
381.57,304.50,44.26
380.52,305.00,44.43
378.72,305.00,44.36
381.22,305.00,44.46
378.66,305.00,44.39
380.15,304.75,44.31
378.13,304.75,44.25
378.93,304.75,44.30
380.95,305.00,44.33
