Naira/GBP,Naira/USD,Naira/Yuan
242.37,155.24,24.57
242.31,155.24,24.84
243.75,155.24,24.83
242.76,155.24,24.57
241.69,155.24,24.83
240.93,155.24,24.83
239.94,155.24,24.83
239.72,155.24,24.83
239.44,155.24,24.83
239.38,155.24,24.83
236.81,155.24,24.79
236.13,155.24,24.78
236.23,155.24,24.81
234.23,155.24,24.79
234.45,155.24,24.81
234.11,155.24,24.82
235.14,155.24,24.84
232.43,155.25,24.85
232.87,155.25,24.87
234.51,155.25,24.87
233.63,155.25,24.86
232.98,155.25,24.87
232.84,155.25,24.89
230.22,155.25,24.84
230.27,155.25,24.9
231.71,155.25,24.89
231.85,155.25,24.89
231.77,155.25,24.9
233.78,155.25,24.66
233.95,155.26,24.64
234.07,155.26,24.9
235.08,155.26,24.9
235.28,155.26,24.91
235.42,155.26,24.9
234.52,155.26,24.91
233.66,155.26,24.92
234.11,155.26,24.91
234.77,155.25,24.9
234.09,155.25,24.9
233.89,155.25,24.96
235.65,155.25,24.95
236.98,155.25,24.95
236.88,155.24,24.95
237.05,155.24,24.94
238.44,155.24,24.95
237.84,155.24,24.98
237.4,155.24,24.97
237.12,155.25,24.99
235.82,155.25,25.01
236.1,155.25,25.03
237.39,155.25,25.07
235.73,155.25,25.03
236.13,155.25,25.05
236.24,155.25,25.03
239.23,155.25,25.04
239.34,155.25,25.04
240.4,155.25,25.07
239.69,155.25,25.1
241.19,155.25,25.1
240.74,155.25,25.1
241.07,155.25,25.14
240.34,155.25,25.14
240.05,155.25,24.9
240.96,155.25,25.14
238.07,155.25,25.2
237.88,155.25,25.24
237.42,155.25,25.2
236.52,155.25,25.17
235.56,155.25,24.94
235.31,155.24,24.95
235.31,155.24,24.93
234.45,155.24,25.19
233.72,155.24,25.2
233.32,155.24,25.22
233.61,155.24,25.24
233.94,155.24,25.22
233.98,155.24,25.23
233.98,155.24,25.28
235.61,155.24,25.28
236.12,155.24,25.24
236.81,155.24,25.22
237.7,155.24,25.23
239.07,155.24,25.25
240.87,155.24,25.25
240.47,155.24,25.22
240.45,155.25,25.23
242.14,155.25,25.23
242.42,155.25,25.23
241.86,155.25,25.23
243.39,155.25,25.22
241.81,155.25,25.24
242.26,155.25,25.26
239.34,155.25,25.25
239.1,155.25,25.25
237.82,155.25,25.25
239.31,155.25,25.23
237.73,155.25,25.18
236.64,155.25,25.18
235.99,155.25,25.17
235.56,155.25,25.17
234.9,155.25,25.21
236.3,155.25,25.23
